program_code,program_name,degree_granted,faculty,degree_level
121001,Nano-Engineering (International Program),Bachelor of Engineering ( B.Eng. ),Faculty of Engineering,Bachelor
121002,Automotive Design and Manufacturing Engineering (International Program),Bachelor of Engineering ( B.Eng. ),Faculty of Engineering,Bachelor
121003,Aerospace Engineering (International Program),Bachelor of Engineering ( B.Eng. ),Faculty of Engineering,Bachelor
121004,Information and Communication Engineering,Bachelor of Engineering ( E.Eng. ),Faculty of Engineering,Bachelor
121010,Civil Engineering,Bachelor of Engineering ( B.Eng. ),Faculty of Engineering,Bachelor
121020,Electrical Engineering,Bachelor of Engineering ( B.Eng. (Electrical Engineering) ),Faculty of Engineering,Bachelor
121030,Mechanical Engineering,Bachelor of Engineering ( B.Eng. (Mechanical Engineering) ),Faculty of Engineering,Bachelor
121032,Automotive Engineering,Bachelor of Engineering ( B.Eng. ),Faculty of Engineering,Bachelor
121033,Naval Architecture and Marine Engineering,Bachelor of Engineering ( B.Eng. ),Faculty of Engineering,Bachelor
121040,Industrail Engineering,Bachelor of Engineering ( B.Eng. ),Faculty of Engineering,Bachelor
121050,Chemical Engineering,Bachelor of Engineering ( B.ENG (Chemical Engineering) ),Faculty of Engineering,Bachelor
121061,Georesources Engineering,Bachelor of Engineering ( B.Eng. ),Faculty of Engineering,Bachelor
121062,Petroleum Engineering,Bachelor of Engineering ( B.Eng. ),Faculty of Engineering,Bachelor
121070,Environmental Engineering,Bachelor of Engineering ( B.Eng. ),Faculty of Engineering,Bachelor
121080,Survey Engineering,Bachelor of Engineering ( B.Eng. ),Faculty of Engineering,Bachelor
121090,Metallurgical Engineering,Bachelor of Engineering ( B.Eng. ),Faculty of Engineering,Bachelor
121100,Computer Engineering,Bacherlor of Engineering ( B.Eng ),Faculty of Engineering,Bachelor
122001,Language and Culture,Bachelor of Arts ( B.A. ),Faculty of Arts,Bachelor
122010,Thai,Bachelor of Arts ( B.A. ),Faculty Of Arts,Bachelor
122020,English,Bachelor of Arts ( B.A. ),Faculty Of Arts,Bachelor
122040,History,Bachelor of Arts ( B.A. ),Faculty Of Arts,Bachelor
122050,Geography,Bachelor of Arts ( B.A. ),Faculty Of Arts,Bachelor
122062,Information Studies,Bachelor of Arts ( B.A. ),Faculty Of Arts,Bachelor
122070,Philosophy,Bachelor of Arts ( B.A. ),Faculty Of Arts,Bachelor
122080,Dramatic Arts,Bachelor of Arts ( B.A. ),Faculty of Arts,Bachelor
122210,Pali and Sanskrit,Bachelor of Arts ( B.A. ),Faculty Of Arts,Bachelor
122220,Chinese,Bachelor of Arts ( B.A. ),Faculty of Arts,Bachelor
122230,Japanese,Bachelor of Arts ( B.A. ),Faculty Of Arts,Bachelor
122310,French,Bachelor of Arts ( B.A. ),Faculty Of Arts,Bachelor
122320,German,Bachelor of Arts ( B.A. ),Faculty Of Arts,Bachelor
122330,Spanish,Bachelor of Arts ( B.A. ),Faculty Of Arts,Bachelor
122340,Italian,Bachelor of Arts ( B.A. ),Faculty Of Arts,Bachelor
123010,Mathematics,Bachelor of Science ( B.Sc. ),Faculty of Science,Bachelor
123011,Computer Science,Bachelor of Science ( B. Sc. ),Faculty of Science,Bachelor
123020,Chemistry,Bachelor of Science ( B.Sc. ),Faculty of Science,Bachelor
123022,Applied Chemistry (International Program),Bachelor of Science ( B.Sc. ),Faculty of Science,Bachelor
123030,Biology,Bachelor of Science ( B.Sc. ),Faculty of Science,Bachelor
123031,Zoology,Bachelor of Science ( B.Sc. ),Faculty of Science,Bachelor
123040,Physics,Bachelor of Science ( B.Sc. ),Faculty of Science,Bachelor
123050,Botany,Bachelor of Science ( B.Sc. ),Faculty of Science,Bachelor
123051,Genetics,Bachelor of Science ( B.Sc. ),Faculty of Science,Bachelor
123061,Chemical Engineering,Bachelor of Science ( B.Sc. ),Faculty of Science,Bachelor
123070,Geology,Bachelor of Science ( B.Sc. ),Faculty of Science,Bachelor
123080,General Science,Bachelor of Science ( B.Sc. ),Faculty of Science,Bachelor
123082,Environmental Science,Bachelor of Science ( B.Sc. ),Faculty of Science,Bachelor
123090,Marine Science,Bachelor of Science ( B.Sc. ),Faculty of Science,Bachelor
123100,Biochemistry,Bachelor of Science ( B.Sc. ),Faculty of Science,Bachelor
123110,Materials Science,Bachelor of Science ( B.Sc. ),Faculty of Science,Bachelor
123120,Microbiology,Bachelor of Science ( B.Sc. ),Faculty of Science,Bachelor
123130,Imaging and Printing,Bachelor of Science ( B.Sc. ),Faculty of Science,Bachelor
123140,Food Technology,Bachelor of Science ( B. Sc. ),Faculty of Science,Bachelor
124010,Government,Bachelor of Arts (Political Science) ( B.A. (Political Science) ),Faculty of Political Science,Bachelor
125001,Architectural Design (International Program),Bachelor of Science in Architectural Design ( B. Sc. ),Faculty of Architecture,Bachelor
125010,Architecture,Bachelor of Architecture ( B.Arch. ),Faculty of Architecture,Bachelor
125022,Communication  Design (International Program),Bachelor of Arts ( B.A. ),Faculty of Architecture,Bachelor
125031,Urban Architecture,Bachelor of Urban Planning ( B.U.P. ),Faculty of Architecture,Bachelor
126010,Bachelor of Accountancy,Bachelor of Accountancy ( B.Acc. ),Faculty of Commerce and Accountancy,Bachelor
126022,Entrepreneurial Manament,Bachelor of Business Administration ( B.B.A ),Faculty of Commerce and Accountancy,Bachelor
126023,Management Information System,Bachelor of Business Administration ( B.B.A. ),Faculty of Commerce and Accountancy,Bachelor
126024,Banking and Finance,Bachelor of Business Administration ( B.B.A. ),Faculty of Commerce and Accountancy,Bachelor
126025,Marketing,Bachelor of Business Administration ( B.B.A. ),Faculty of Commerce and Accountancy,Bachelor
126026,International Business Management (International Program),Bachelor of Business Administration ( B.B.A. ),Faculty of Commerce and Accountancy,Bachelor
126028,International Logistics Management,Bachelor of Business Administration ( B.B.A. ),Faculty of Commerce and Accountancy,Bachelor
127151,Elementary Education,Bachelor of  Education ( B.Ed. ),Faculty of Education,Bachelor
127152,Early Childhood Education,Bachelor of  Education ( B.Ed. ),Faculty of Education,Bachelor
127153,Health and Physical Education,Bachelor of Education ( B.Ed. ),Faculty of Education,Bachelor
127154,Educational Technology,Bachelor of  Education ( B.Ed. ),Faculty of Education,Bachelor
127351,Art Education,Bachelor of  Education ( B.Ed. ),Faculty of Education,Bachelor
127352,Music Education,Bachelor of  Education ( B.Ed. ),Faculty of Education,Bachelor
127451,Non-Formal Education,Bachelor of  Education ( B.Ed. ),Faculty of Education,Bachelor
127452,Business Education,Bachelor of  Education ( B.Ed. ),Faculty of Education,Bachelor
127551,"Counseling Psychology, Guidance and Special Education",Bachelor of  Education ( B.Ed. ),Faculty of Education,Bachelor
128010,Journalism,Bachelor of Arts ( B.A. ),Faculty of Communication Arts,Bachelor
128021,Broadcasting,Bachelor of Arts ( B.A. ),Faculty of Communication Arts,Bachelor
128030,Public Relations,Bachelor of Arts (Communication Arts) ( B.A. (Communication Arts) ),Faculty of Communication Arts,Bachelor
128032,Advertisting,Bachelor of Arts ( B.A. ),Faculty of Communication Arts,Bachelor
128041,Speech Communication,Bachelor of Arts ( B.A. ),Faculty of Communication Arts,Bachelor
128042,Performing Arts,Bachelor of Arts ( B.A. ),Faculty of Communication Arts,Bachelor
128050,Motion Pictures,Bachelor of Arts ( B.A. ),Faculty of Communication Arts,Bachelor
129401,Economics,Bachelor of Economics ( B.Econ. ),Faculty of Economic,Bachelor
129520,Economics,Bachelor of Arts ( B.A. ),Faculty of Economic,Bachelor
130001,Medicine,Doctor of Medicine ( M.D. ),Faculty of Medicine,Bachelor
131001,Verterinary Medicine,Doctor of Verterinary Medicine ( D.V.M. ),Faculty of Veterinary Science,Bachelor
132000,Doctor of Dental Surgery Program,Doctor of Dental Surgery ( D.D.S. (Dental Surgery) ),Faculty of Dentistry,Bachelor
133000,Industrial Pharmacy,Doctor of Pharmacy ( Pharm.D. ),Faculty of Pharmaceutical Science,Bachelor
133001,Pharmaceutical Care,Doctor of Pharmacy ( Pharm.D. ),Faculty of Pharmaceutical Science,Bachelor
134000,Laws,Bachelor Degree of Laws ( LL.B.(Laws) ),Faculty of Law,Bachelor
135010,Visual Arts,Bachelor of Fine and Applied Arts ( B.F.A. ),Faculty of Fine and Applied Arts,Bachelor
135020,Creative Arts,Bachelor of Fine and Applied Arts ( B.F.A. ),Faculty of Fine and Applied Arts,Bachelor
135040,Dance,Bachelor of Fine and Applied Arts ( B.F.A. ),Faculty of Fine and Applied Arts,Bachelor
137001,Medical Technology,Bachelor of Science ( B.Sc.(Medical Technology) ),Faculty of Allied Health Sciences,Bachelor
137030,Nutrition and Dietetics,Bachelor of Science ( B.Sc. ),Faculty of Allied Health Sciences,Bachelor
137040,Physical Therapy,Bacherlor of Science ( B.Sc.(Physical Therapy) ),Faculty of Allied Health Sciences,Bachelor
137050,Radiological Technology,Bachelor of Science ( B.Sc.	 ),Faculty of Allied Health Sciences,Bachelor
138000,Psychology,Bachelor of Science ( B.S. ),Faculty of Psychology,Bachelor
138001,Psychological Science (International Program),Bachelor of Science ( B.Sc. ),Faculty of Psychology,Bachelor
139001,Sports and Exercise Science,Bachelor of Science ( B.Sc. ),Faculty of Sports Science,Bachelor
140001,Agricultural Resources Administration,Bachelor of Arts ( B.A. ),The office of the commission,Bachelor
169400,Software Development,Bachelor of Science ( B.Sc. ),Office of Higher Education of Opportunity,Bachelor
221110,Nuclear Technology,Graduate Diploma in ( Grad.Gip. ),Faculty of Engineering,Graduate Diploma
222080,Dramatic Arts,Graduate Diploma ( Grad Dip. ),Faculty Of Arts,Graduate Diploma
222411,Interpreting,Graduate Diploma ( Grad. Dip. ),Faculty of Arts,Graduate Diploma
223131,Printing Technology,Graduate Diploma ( Grad.Dip. ),Faculty of Science,Graduate Diploma
226010,Auditing,Graduate Diploma in Auditing ( Grad.Dip. (Auditing) ),Faculty of Commerce and Accountancy,Graduate Diploma
230071,Mental Health,Graduate Diploma ( Grad. Dip. ),Faculty of Medicine,Graduate Diploma
231001,Verterinary Clinical Sciences,Graduate Diploma ( Grad.Dip.of Vet Clin.Sci. ),Faculty of Veterinary Science,Graduate Diploma
232071,Prosthodontics,Graduate Diploma in Clinical Sciences ( Grad.Dip.in Clin.Sc. ),Faculty of Dentistry,Graduate Diploma
232083,Operative Dentistry,Graduate Diploma in Clinical Science ( Grad. Dip. in Clin. Sc. ),Faculty of Dentistry,Graduate Diploma
232084,Endodontology,Graduate Diploma in Clinical Sciences ( Grad. Dip. in Clin. Sc. ),Faculty of Dentistry,Graduate Diploma
232102,Oral and Maxillofacial Surgery,Graduate Diploma in Clinical Sciences ( Grad. Dip. in Clin. Sc. ),Faculty of Dentistry,Graduate Diploma
232111,Oral Diagnostic Sciences,Graduate Diploma in Clinical Sciences ( Grad.Dip.in Clin.Sc. ),Faculty of Dentistry,Graduate Diploma
320020,Engineering Management,Master of Engineering ( M. Eng. ),Faculty of Engineering,Master
320030,European Studies (International Program),Master of Arts ( M.A. ),Graduate school,Master
320041,Environmental Science,Master of Science ( M.Sc. ),Graduate School,Master
320050,Medical Microbiology,Master of Science ( M.Sc. ),Graduate school,Master
320060,Pharmacology,Master of Science ( M.Sc ),Graduate school,Master
320070,Physiology,Master of Science ( M.Sc. ),Graduate school,Master
320080,Cultural Management (International Program),Master of Arts ( M.A. ),Graduate school,Master
320082,Cultural Management,Master of Arts ( M.A. ),Graduate School,Master
320090,Hazardous Substance and Environmental Management (International Program),Master of Science ( M.Sc. ),Graduate school,Master
320100,English as an International Language (International Program),Master of Arts ( M.A. ),Graduate school,Master
320120,Human Sexuality,Master of Science ( M.Sc. ),Graduate school,Master
320130,Logistics Management,Master of Science ( M.S. ),Graduate school,Master
320150,Southeast Asian Studies (International Program),Master of Arts ( M.A. ),Graduate school,Master
320160,Human and Social Development,Master of Arts ( M.A. ),Graduate school,Master
320170,Dental Biomaterials Science,Master of  Science ( M.Sc. ),Graduate School,Master
320190,Research for  Health Development(International Program),Master  of  Science ( Master of Science ),Graduate School,Master
320221,Technopreneurship and Innovation Management,Master of Science ( M.Sc. ),Graduate School,Master
320231,"Environment, Development and Sustainability",Master of Arts ( M.A. ),Graduate School,Master
320241,Korean Studies(International),Master of  Arts ( M.A. ),Graduate School,Master
320250,Maritime Administration,Master of  Science ( M.Sc. ),Graduate School,Master
320260,Energry Technology Management,Master of  Science ( M.Sc. ),Graduate School,Master
320271,Russian Studies,Master of  Arts (International Program) ( M.A. ),Graduate School,Master
321001,Biomedical Engineering,Master of science ( M.S. ),Faculty of Engineering,Master
321002,Biomedical Engineering,Master of Engineering ( M.Eng. ),Faculty of Engineering,Master
321003,Defense Engineering and Technology,Master of Engineering ( M.Eng. ),Faculty of Engineering,Master
321010,Civil Engineering,Master of Engineering ( M.Eng ),Faculty of Engineering,Master
321020,Electrical Engineering,M.Eng. ( Master of Engineering ),Faculty of Engineering,Master
321030,Mechanical Engineering,Master of Engineering ( M.Eng. ),Faculty of Engineering,Master
321040,Industrial Engineering,Master of Engineering ( M.Eng. ),Faculty of Engineering,Master
321052,Chemical Engineering,Master of Engineering ( M.Eng. ),Faculty of Engineering,Master
321061,Georesources Engineering,Master of Engineering ( M.Eng. ),Faculty of Engineering,Master
321062,Petroleum Engineering,Master of Engineering ( M.Eng. ),Faculty of Engineering,Master
321064,Georesources and Petroleum Engineering (International Program),Master of Engineering ( M.Eng ),Faculty of Engineering,Master
321070,Environmental Engineering,Master of Engineering ( M.Eng. ),Faculty of Engineering,Master
321080,Survey Engineering,Master of Engineering ( M.Eng. ),Faculty of Engineering,Master
321081,Spatial Information System in Engineering,Master of Science ( M.Sc. ),Faculty of Engineering,Master
321083,in Infrastructure in Civil Engineering (International Program),Master of Engineering ( M.Eng. ),Faculty of Engineering,Master
321091,Metallurgical and Materials Engineering,Master of Engineering ( M.Eng. ),Faculty of Engineering,Master
321100,Computer Engineering,Master of Engineering ( M.Eng ),Faculty of Engineering,Master
321101,Computer Science,Master of Science ( M.Sc. ),Faculty of Engineering,Master
321103,Sorftware Engineering,Master of Science ( M.Sc. ),Faculty of Engineering,Master
321111,Nuclear Technology,Master of Engineering ( M.Eng ),Faculty of Engineering,Master
321112,Nuclear Technology,Master of Science ( M.Sc. ),Faculty of Engineering,Master
321120,Water Resources Engineering,Master of Engineering ( M.Eng. ),Faculty of Engineering,Master
322011,Thai,Master of Arts ( M.A. ),Faculty Of Arts,Master
322012,Thai Studies (International Program),Master of Arts ( M.A. ),Faculty Of Arts,Master
322020,English,Master of Arts ( M.A. ),Faculty Of Arts,Master
322040,History,Master of Arts ( M.A. ),Faculty Of Arts,Master
322041,Historical Studies,Master of Arts ( M.A. ),Faculty of Arts,Master
322050,Geography and Geoinformatics,Master of Arts ( M.A. ),Faculty Of Arts,Master
322060,Library Science or Library and Information,Master of Arts ( M.A. ),Faculty Of Arts,Master
322070,Philosophy,Master of Arts ( M.A. ),Faculty Of Arts,Master
322081,Dramatic Arts,Master of Arts ( M.A. ),Faculty of Arts,Master
322090,Linguistics,Master of Arts ( M.A. ),Faculty Of Arts,Master
322101,Comparative Literature,Master of Arts ( M.A. ),Faculty of Arts,Master
322206,Japanese as a Foreign Language,Master of Arts ( M.A. ),Faculty of Arts,Master
322210,Pali-Sanskrit and Buddhist Studies,Master of Arts ( M.A. ),Faculty Of Arts,Master
322220,Chinese,Master of Arts ( M.A. ),Faculty Of Arts,Master
322231,Japanese,Master of Arts ( M.A. ),Faculty of Arts,Master
322310,French,Master of Arts ( M.A. ),Faculty Of Arts,Master
322320,German,Master of Arts ( M.A. ),Faculty Of Arts,Master
322331,Spanish,Master of Arts ( M.A. ),Faculty of Arts,Master
322410,Translation and Interpretation,Master of Arts ( M.A. ),Faculty Of Arts,Master
323011,Mathematics,Master of Science ( M.Sc. ),Faculty of Science,Master
323012,Applied Mathematics and Computational Science,Master of Science ( M.Sc. ),Faculty of Science,Master
323013,Computer Science and Information Technology,Master of Science ( M.Sc. ),Faculty of Science,Master
323021,Chemistry,Master of Science ( M.Sc. ),Faculty of Science,Master
323031,Zoology,Master of Science ( M.Sc. ),Faculty of Science,Master
323041,Physics,Master of Science ( M.Sc. ),Faculty of Science,Master
323051,Botany,Master of Science ( M.Sc. ),Faculty of Science,Master
323052,Genetics,Master of science ( M.Sc. ),Faculty of Science,Master
323061,Chemical Technology,Master of Science ( M.Sc. ),Faculty of Science,Master
323062,Fuel Technology,Master of Science ( M.Sc. ),Faculty of Science,Master
323071,Geology,Master of Science ( M.Sc. ),Faculty of Science,Master
323072,Earth Sciences,Master of Science ( M.Sc. ),Faculty of Science,Master
323091,Marine Science,Master of Science ( M.Sc. ),Faculty of Science,Master
323101,Biochemistry and Molecular Biology,Master of Science ( M.Sc. ),Faculty of Science,Master
323111,Ceramic Technology,Master of Science ( M.Sc. ),Faculty of Science,Master
323112,Applied Polymer Science and Textile Technology,Master of Science ( M.Sc. ),Faculty of Science,Master
323113,Petrochemistry and Polymer Science,Master of Science ( M.Sc. ),Faculty of Science,Master
323121,Microbiology and Microbial Technology,Master of Science ( M.Sc. ),Faculty of Science,Master
323131,Imaging Technology,Master of Science ( M.Sc. ),Faculty of Science,Master
323132,Pulp and Paper Technology,Master of Science ( M.Sc. ),Faculty of Science,Master
323141,Food Technology,Master of Science ( M.Sc. ),Faculty of Science,Master
323142,Food Science and Technology (International Program),Master of Science ( M.Sc. ),Faculty of Science,Master
323410,Biotechnology,Master of Sciences ( M.Sc. ),Faculty of Science,Master
323461,Metrological Science,Master of Science ( M.Sc. ),Faculty of Science,Master
323511,Petroleum Geoscience,Master of Science ( M.Sc. ),Faculty of Science,Master
324010,Groverment,Master of Arts (Political Science) ( M.A.(Political Science) ),Faculty of Political Science,Master
324012,Politics and Governance,Master of Arts ( M.A. ),Faculty of Political Science,Master
324021,International Relations,Master of Arts (Political Science) ( M.A.(Political Science) ),Faculty of Political Science,Master
324031,Sociology and Anthropology,Master of Arts ( M.A. ),Faculty of Political Science,Master
324032,Sociology,Master of Arts (Sociology) ( M.A.(Sociology) ),Faculty of Political Science,Master
324033,Anthopology,Master of Arts (Anthopology) ( M.A.(Anthopology) ),Faculty of Political Science,Master
324034,Criminology and Criminal Justice,Master of  Arts ( ศศ.ม. ),Faculty of Political Science,Master
324040,Public Administration,Master of Public Administration ( M.P.A. ),Faculty of Political Science,Master
324401,International Development Studies,Master of Arts ( M.A. ),Faculty of Political Science,Master
324411,Governance (International Program),Master of Arts ( M.A. ),Faculty of Political Science,Master
325010,Architecture,Master of Architecture ( M.Arch. ),Faculty of Architecture,Master
325012,Urban Design,Master of  Urban and Regional Planning ( M.U.R.P. ),Faculty of Architecture,Master
325013,Architecture,Master of Science ( M.Sc. ),Faculty of Architecture,Master
325014,Architectural Design (International Program),Master of Architecture ( M.Arch.	 ),Faculty of Architecture,Master
325021,Industrial Design,Master of Industrial Design ( M.I.D ),Faculty of Architecture,Master
325030,Urban and Regional Planning,Master of Urban and Regional Planning ( M.U.R.P. ),Faculty of Architecture,Master
325031,Community Planning,Master of Urban and Regional Planning ( M.U.R.P. ),Faculty of Architecture,Master
325040,Landscape Architecture,Master of Landscape Architecture ( M.L.A. ),Faculty of Architecture,Master
325060,Housing,Master of Housing Development ( M.H.D. ),Faculty of Architecture,Master
326001,Corporate Governance,Master of Science ( M.Sc. ),Faculty of Commerce and Accountancy,Master
326010,Accounting,Master of Accountancy ( M.Acc. ),Faculty of Commerce and Accountancy,Master
326011,Accountancy,Master of Arts ( M.A. ),Faculty of Commerce and Accountancy,Master
326020,Business Administration,Master of Business Administration ( M.B.A. ),Faculty of Commerce and Accountancy,Master
326021,International Business Management,Master of Management ( M.M. ),Faculty of Commerce and Accountancy,Master
326031,Statistics,Master of Science ( M.S. ),Faculty of Commerce and Accountancy,Master
326032,Information Technology in Business,Master of Science ( M.Sc. ),Faculty of Commerce and Accountancy,Master
326035,Insurance,Master of Science ( M.Sc. ),Faculty of Commerce and Accountancy,Master
326038,Business Sorftware Development,Master of Science ( M.Sc. ),Faculty of Commerce and Accountancy,Master
326040,Finance  (English Program),Master of Science ( M.S. ),Faculty of Commerce and Accountancy,Master
326041,Financial Engineering (English Program),Master of Science ( M.Sc. ),Faculty of Commerce and Accountancy,Master
326051,Marketing,Master of Science ( M.Sc. ),Faculty of Commerce and Accountancy,Master
327010,Foundations of Education,Master of Education ( M.Ed. ),Faculty of Education,Master
327011,Mathematics Education,Master of Education ( M.Ed. ),Faculty of Education,Master
327012,Science Education,Master of Education ( M.Ed. ),Faculty of Education,Master
327013,Teaching Thai Language,Master of Education ( M.Ed. ),Faculty of Education,Master
327014,Teaching English as a foreign Language,Master of Education ( M.Ed. ),Faculty of Education,Master
327015,Teaching Social Studies,Master of Education ( M.Ed. ),Faculty of Education,Master
327016,Supervision and Curriculum Development,Master of Education ( M.Ed. ),Faculty of Education,Master
327017,Development Education,Master of Education ( M.Ed. ),Faculty of Education,Master
327018,Educational Psychology,Master of Education ( M.Ed. ),Faculty of Education,Master
327021,Educational Measurement and Evaluation,Master of Education ( M.Ed. ),Faculty of Education,Master
327022,Educational Research Methodology,Master of Education ( M.Ed. ),Faculty of Education,Master
327023,Educational Statistics,Master of Education ( M.Ed. ),Faculty of Education,Master
327031,Elementary Education,Master of Education ( M.Ed. ),Faculty of Education,Master
327032,Early Childhood Education,Master of Education ( M.Ed. ),Faculty of Education,Master
327051,Health and Physical Education,Master of Education ( M.Ed. ),Faculty of Education,Master
327060,Education Administration,Master of Education ( M.Ed. ),Faculty of Education,Master
327080,Educational Technology and Communications,Master of Education ( M.Ed. ),Faculty of Education,Master
327090,Art Education,Master of Education ( M.Ed. ),Faculty of Education,Master
327100,Higher Education,Master of Education ( M.Ed. ),Faculty of Education,Master
327110,Non-Formal Education,Master of Education ( M. Ed. ),Faculty of Education,Master
327351,Music Education,Master of Education ( M. Ed. ),Faculty of Education,Master
327401,Curriculum and Instruction,Master of Education ( M.Ed. ),Faculty of Education,Master
328001,Communication Arts,Master of Arts (Communication Arts) ( M.A. (Communication Arts) ),Faculty of Communication Arts,Master
328002,Strategic Communication Management (International Program),Master of Arts (Communication Arts) ( M.A. (Communication Arts) ),Faculty of Communication Arts,Master
328010,Journalism,Master of Arts (Communication Arts) ( M.A. ),Faculty of Communication Arts,Master
328021,Mass Communication,Master of Arts ( M.A.(Communication Arts) ),Faculty of Communication Arts,Master
328030,Development Communication,Master of Arts (Communication Arts) ( M.A. ),Faculty of Communication Arts,Master
328031,Advertising,Master of Arts (Communication Arts) ( M.A. ),Faculty of Communication Arts,Master
328033,Public Relations,Master of Arts (Communication Arts) ( M.A.(Communication Arts) ),Faculty of Communication Arts,Master
328040,Speech Communication,Master of Arts (Communication Arts) ( M.A. ),Faculty of Communication Arts,Master
328042,Performing Arts,Master of Arts (Communication Arts) ( M.A.(Communication Arts) ),Faculty of Communication Arts,Master
328051,Film,Master of Arts ( M.A (Communication Arts) ),Faculty of Communication Arts,Master
329000,Economics,Master of Economics ( M. Econ. ),Faculty of Economic,Master
329001,Health Economics and Health Care Management  (International Program),Master of Science ( M.Sc. ),Faculty of Economic,Master
329003,International Economics and Finance (International Program),Master of Arts ( M.A. ),Faculty of Economic,Master
