program_code,program_name,degree_granted,faculty,degree_level
329004,Business and Managerial Economics (International Program),Master of Arts ( M.A. ),Faculty of Economic,Master
329005,Labour Economics and Human Resource Management (International Program),Master of Arts ( M.A. ),Faculty of Economic,Master
329006,Political Economy,Master of Arts ( M.A. ),Faculty of Economic,Master
330000,Sports Medicine,Master of Science ( M.Sc. ),Faculty of Medicine,Master
330001,Medical Science (international Program),Master of Science ( M.Sc. ),Faculty of Medicine,Master
330050,Medical Biochemistry,Master of Science ( M.Sc. ),Faculty of Medicine,Master
330070,Mental Health,Master of Science ( M.Sc. ),Faculty of Medicine,Master
330080,Medical Parasitology,Master of Science ( M.Sc. ),Faculty of Medicine,Master
330110,Medical Imaging,Master of Science ( M.Sc. ),Faculty of Medicine,Master
330143,Health Research and Management,Master of Science ( M.Sc. ),Faculty of Medicine,Master
330201,Medicine,Master of Science ( M.Sc. ),Faculty of Medicine,Master
330202,Medical Science,Master of Science ( M.Sc. ),Faculty of Medicine,Master
330400,Health Development (International Program),Master of Science ( M.Sc. ),Faculty of Medicine,Master
331002,Veterinary Science and Technology(International Program),Master of Science ( M.Sc. ),Faculty of Veterinary Science,Master
331012,Veterinary Biosciences,Master of  Science ( M.Sc. ),Faculty of Veterinary Science,Master
331020,Animal Physiology,Master of Science ( M.Sc. ),Faculty of Veterinary Science,Master
331030,Animal Breeding,Master of Science ( M.Sc. ),Faculty of Veterinary Science,Master
331031,Animal Nutrition,Master of Science ( M.Sc. ),Faculty of Veterinary Science,Master
331032,Applied Animal Science,Master of Science ( M.Sc. ),Faculty of Veterinary Science,Master
331040,Veterinary Pharmacology,Master of Science ( M.Sc. ),Faculty of Veterinary Science,Master
331050,Veterinary Pathobiology,Master of Science ( M.Sc. ),Faculty of Veterinary Science,Master
331060,Veterinary Surgery,Master of Science ( M.Sc. ),Faculty of Veterinary Science,Master
331073,Veterinary Medicine,Master of Science ( M.Sc. ),Faculty of Veterinary Science,Master
331081,Theriogenology,Master of Science ( M.Sc. ),Faculty of Veterinary Science,Master
331090,Veterinary Public Hearth,Master of Science ( M.Sc. ),Faculty of Veterinary Science,Master
332001,Esthetic Restorative and Implant Dentistry(International Program),Master of Science ( M.Sc. ),Faculty of Dentistry,Master
332002,Geriatric Dentistry and Special Patients Care (International Program),Master of Science ( M.Sc. ),Faculty of Dentistry,Master
332061,Orthodontics,Master of Science ( M.Sc. ),Faculty of Dentistry,Master
332070,Prosthodontics,Master of Science ( M.Sc. ),Faculty of Dentistry,Master
332081,Operative Dentistry,Master of Science ( M.Sc. ),Faculty of Dentistry,Master
332082,Endodontology,Master of Science ( M.Sc. ),Faculty of Dentistry,Master
332091,Oral and Maxillofacial Radiology,Master of Science ( M.Sc. ),Faculty of Dentistry,Master
332100,Oral and Maxillofacail Surgery,Master of Science ( M.Sc. ),Faculty of Dentistry,Master
332110,Oral Medicine,Master of Science ( M.Sc. ),Faculty of Dentistry,Master
332120,Pediatric Dentistry,Master of Science ( M.Sc. ),Faculty of Dentistry,Master
332130,Oral Biology,Master of Science ( M.Sc. ),Faculty of Dentistry,Master
332150,Periodontics,Master of Science ( M.Sc. ),Faculty of Dentistry,Master
332160,Occlusion and Orofacial Pain,Master of Science ( M.Sc. ),Faculty of Dentistry,Master
333000,Pharmaceutical Technology (International),Master of Science ( M.Sc. ),Faculty of Pharmaceutical Science,Master
333001,Social and Administrative Pharmacy (International Program),Master of Science ( M.Sc. ),Faculty of Pharmaceutical Science,Master
333002,Pharmaceutical Sciences and Technology,Master of Science ( M.Sc. ),Faculty of Pharmaceutical Science,Master
333010,Pharmacy,Master of Science in Pharmacy ( M.Sc. in Pharm ),Faculty of Pharmaceutical Science,Master
333011,Clinical Pharmacy Practice,Master of Science in Pharmacy ( M.Sc. in Pharm ),Faculty of Pharmaceutical Science,Master
333020,Industrial Pharmacy,Master of Science in Pharmacy ( M.Sc. in Pharm ),Faculty of Pharmaceutical Science,Master
333030,Pharmaceutical Chemistry,Master of Science in Pharmacy ( M.Sc. in Pharm ),Faculty of Pharmaceutical Science,Master
333040,Biomadical Chemistry,Master of Science ( M.Sc. ),Faculty of Pharmaceutical Science,Master
333050,Food Chemistry and Medical Nutrition,Master of Science in Pharmacy ( M.Sc. in Pharm ),Faculty of Pharmaceutical Science,Master
333070,Pharmacognosy,Master of Science in Pharmacy ( M.Sc. in Pharm ),Faculty of Pharmaceutical Science,Master
333080,Pharmacy,Master of Science in Pharmacy ( M.Sc. in Pharm ),Faculty of Pharmaceutical Science,Master
333100,Pharmacology and Toxicology,Master of Science in Pharmacy ( M.Sc. in Pharm ),Faculty of Pharmaceutical Science,Master
333114,Cosmetic Science,Master of Science ( M.Sc. ),Faculty of Pharmaceutical Science,Master
334000,Laws,Master of Laws ( LL.M. ),Faculty of Law,Master
334001,Economic Law,Master of  Arts ( M.A. ),Faculty of Law,Master
334002,Business Law (International Program),Master of Laws ( LL.M. ),Faculty of Law,Master
334004,Finance and Tax Laws,Master of Law ( LL.M. ),Faculty of Law,Master
335010,Visual Arts,Master of Fine and Applied Arts ( M.F.A. ),Faculty of Fine and Applied Arts,Master
335020,Creative Arts,Master of Fine and Applied ( M.A. ),Faculty of Fine and Applied Arts,Master
335021,Western Music,Master of Fine and Applied ( M.F.A. ),Faculty of Fine and Applied Arts,Master
335030,Thai Music,Master of Arts (Thai Music) ( M.A. ),Faculty of Fine and Applied Arts,Master
335031,Thai Dance,Master of Arts ( M.A. ),Faculty of Fine and Applied Arts,Master
336001,Nursing Administration,Master of Nursing Science ( M.N.S. ),Faculty of Nursing,Master
336003,Mental Health and Psychiatric Nursing,Master of Nursing Science ( M.N.S. ),Faculty of Nursing,Master
336004,Nursing Science,Master of Nursing Science ( M.N.S. ),Faculty of Nursing,Master
336009,Community Nurse Practitioner,Master of Nursing Science ( M.N.S. ),Faculty of Nursing,Master
337011,Clinical Biochemistry and Molecular Medicine,Master of Science ( M.Sc. ),Faculty of Allied Health Sciences,Master
337021,Clinical Hematology Sciences,Master of  Science ( M.Sc. ),Faculty of Allied Health Sciences,Master
337031,Food and Nutrition(International Program),Master of Science ( M.Sc. ),Faculty of Allied Health Sciences,Master
337032,Molecular Science of Medical Microbiology and Immunology,Master of Science ( M.Sc. ),Faculty of Allied Health Sciences,Master
337041,Physical Therapy,Master of Science ( M.Sc. ),Faculty of Allied Health Sciences,Master
338001,Psychology,Master of Arts ( M.A. ),Faculty of Psychology,Master
338051,Industrial and Developmental Psychology,Master of Arts ( M.A. ),Faculty of Psychology,Master
338061,Applied Psychology,Master of Arts ( M.A. ),Faculty of Psychology,Master
339001,Sports Science,Master of Science ( M.Sc. ),Faculty of Sports Science,Master
351000,Demography,Master of Arts ( M.A. ),College of Population Stities,Master
351001,Demography,Master of Arts ( M.A. ),College of Population Studies,Master
353001,Public Health Sciences(International),Master of Science ( M.Sc. ),College of Public Health Science,Master
363000,Petrochemical Technology(International Program),Master of Science ( M.Sc. ),Petroleum and Petrochemical College,Master
363100,Polymer Science(International Program),Master of Science ( M.Sc. ),Petroleum and Petrochemical College,Master
363200,Petroleum Technology(International Program),Master of Science ( M.Sc. ),Petroleum and Petrochemical College,Master
368000,Public Health,Master of Public Health ( M.P.H. ),College of Public Health Science,Master
427100,Hiher Education Management,Hiher Graduate Diploma ( Hiher Grad. Dip. ),Faculty of Education,Higher Graduate Diploma
430001,Epilepsy,Higher Graduate Diploma of Clinical Science ( Higher. Grad. Dip. of Clin.Sc. ),Faculty of Medicine,Higher Graduate Diploma
430020,Pediatrics,Hiher Graduate Diploma of Clinical Sciences ( Higher. Grad. Dip. of Clin.Sc. ),Faculty of Medicine,Higher Graduate Diploma
430030,Ophthalmology,Hiher Graduate Diploma of Clinical Sciences ( Grad.Dip.In Clin.Sc. ),Faculty of Medicine,Higher Graduate Diploma
430061,Forensic Medicine,Higher Graduate Diploma of Clinical Sciences ( Higher. Grad. Dip. of Clin. Sc. ),Faculty of Medicine,Higher Graduate Diploma
430071,Psychiatry,Higher Graduate Diploma of Clinical Sciences ( Higher Grad. Dip. of Clin. Sc. ),Faculty of Medicine,Higher Graduate Diploma
430072,Advanced Child and Adolescent Psychiatry,Higher Graduate Diploma of Clinical Sciences ( Higher. Grad. Dip. of Clin. Sc. ),Faculty of Medicine,Higher Graduate Diploma
430090,Anatomic Pathology,Hiher Graduate Diploma of Clinical Sciences ( Higher. Grad. Dip. of Clin.Sc. ),Faculty of Medicine,Higher Graduate Diploma
430110,Radiology,Hiher Graduate Diploma of Clinical Sciences ( Higher. Grad. Dip. of Clin.Sc. ),Faculty of Medicine,Higher Graduate Diploma
430113,Medical Physics,Higher Graduate Diploma of Clinical Sciences ( Higher Grad. Dip. of Clin. Sc. ),Faculty of Medicine,Higher Graduate Diploma
430121,Anesthesiology,Higher Graduate Diploma of Clinical Sciences ( Higher  Grad. Dip. of Clin. Sc. ),Faculty of Medicine,Higher Graduate Diploma
430131,Clinical Pathology,Higher Graduate Diploma of Clinical Sciences ( Higher Grad.Dip.of Clin.Sc. ),Faculty of Medicine,Higher Graduate Diploma
430150,General Surgery,Hiher Graduate Diploma of Clinical Sciences ( Higher. Grad. Dip. of Clin.Sc. ),Faculty of Medicine,Higher Graduate Diploma
430151,Neurological,Hiher Graduate Diploma of Clinical Sciences ( Higher. Grad. Dip. of Clin.Sc. ),Faculty of Medicine,Higher Graduate Diploma
430152,Urologic Surgery,Hiher Graduate Diploma of Clinical Sciences ( Higher. Grad. Dip. of Clin.Sc. ),Faculty of Medicine,Higher Graduate Diploma
430153,Plastic Surgery,Hiher Graduate Diploma of Clinical Sciences ( Higher. Grad. Dip. of Clin.Sc. ),Faculty of Medicine,Higher Graduate Diploma
430154,Cardiothoracic Surgery,Hiher Graduate Diploma of Clinical Sciences ( Higher. Grad. Dip. of Clin.Sc. ),Faculty of Medicine,Higher Graduate Diploma
430155,Pediatric Surgery,Hiher Graduate Diploma of Clinical Sciences ( Higher. Grad. Dip. of Clin.Sc. ),Faculty of Medicine,Higher Graduate Diploma
430156,Orthopaedics,Hiher Graduate Diploma of Clinical Sciences ( Higher. Grad. Dip. of Clin.Sc. ),Faculty of Medicine,Higher Graduate Diploma
430157,Colorectal Surgery,Higher Graduate Diploma of Clinical Sciences ( HIGHER GRAD. DIP. OF CLIN. SC. ),Faculty of Medicine,Higher Graduate Diploma
430158,Surgery,Higher Graduate Diploma of Clinical Sciences ( Higher Grad. Dip. of Clin. Sc. ),Faculty of Medicine,Higher Graduate Diploma
430181,Obstetrics and Gynecology,Higher Graduate Diploma of Clinical Sciences ( Higher. Grad. Dip. of Clin. Sc. ),Faculty of Medicine,Higher Graduate Diploma
430190,Otolaryngology,Hiher Graduate Diploma of Clinical Sciences ( Higher. Grad. Dip. of Clin.Sc. ),Faculty of Medicine,Higher Graduate Diploma
430200,Internal Medicine,Hiher Graduate Diploma of Clinical Sciences ( Higher. Grad. Dip. of Clin.Sc. ),Faculty of Medicine,Higher Graduate Diploma
430201,Dermatology,Hiher Graduate Diploma of Clinical Sciences ( Higher. Grad. Dip. of Clin.Sc. ),Faculty of Medicine,Higher Graduate Diploma
430204,Family Medicine,Higher Graduate Diploma of Clinical Sciences ( Higher Grad.Gip.of Clin.Sc. ),Faculty of Medicine,Higher Graduate Diploma
430205,Internal Medicine,Higher Graduate Diploma of Clinical Sciences ( Higher Grad. Dip. of Clin. Sc. ),Faculty of Medicine,Higher Graduate Diploma
430210,Rehabilitation Medicine,Hiher Graduate Diploma of Clinical Sciences ( Higher. Grad. Dip. of Clin.Sc. ),Faculty of Medicine,Higher Graduate Diploma
432061,Orthodontics,Higher Graduate Diploma ( Higher Grad.Gip.in.. ),Faculty of Dentistry,Higher Graduate Diploma
432070,Maxillofacial Prostics,Higher Graduate Diploma ( Higher Grad.Dip ),Faculty of Dentistry,Higher Graduate Diploma
432072,Full Mouth Rehabilitation,Higher Graduate Diploma ( Higher Grad. Dip. ),Faculty of Dentistry,Higher Graduate Diploma
432080,Endodontology,Higher Graduate Diploma ( Higher Grad.Dip ),Faculty of Dentistry,Higher Graduate Diploma
432081,Operative Dentistry,Higher Graduate Diploma ( Higher Grad.Gip.in.. ),Faculty of Dentistry,Higher Graduate Diploma
432101,Prosthodontics,Higher Graduate Diploma in Clinical Sciences ( Higher Grad. Dip. in Clin. Sc. ),Faculty of Dentistry,Higher Graduate Diploma
432111,Oral Diagnostic Sciences,Higher Graduate Diploma in Clinical Sciences ( Higher Grad.Dip.in Clin.Sc. ),Faculty of Dentistry,Higher Graduate Diploma
432121,Pediatric Dentistry,Higher Graduate Diploma ( Higher Grad.Gip.in.. ),Faculty of Dentistry,Higher Graduate Diploma
432150,Periodontology,Higher Graduate Diploma ( Higher Grad.Dip ),Faculty of Dentistry,Higher Graduate Diploma
520031,European Studies,Doctor of Philosophy ( Ph.D. ),Graduate School,Doctoral
520041,Environmental Science,Doctor of Philosophy ( Ph.D. ),Graduate School,Doctoral
520050,Medical Microbiology,Doctor of Philosophy ( Ph.D. ),Graduate School,Doctoral
520060,Pharmacology,Doctor of Philosophy ( Ph.D. ),Graduate school,Doctoral
520070,Physiology,Doctor of Philosophy ( Ph.D ),Graduate school,Doctoral
520090,Hazardous Substance and Environmental Management (International Program),Doctor of Philosophy ( Ph.D. ),Graduate school,Doctoral
520100,English as an International Language (International Program),Doctor of Philosophy ( Ph.D. ),Graduate school,Doctoral
520110,Biomedical Science,Doctor of Philosophy ( Ph.D. ),Graduate school,Doctoral
520171,Dental Biomaterials Science,Doctor of Philosophy ( Ph.D. ),Graduate School,Doctoral
520190,Research for  Health Development,Doctor  of  Philosophy ( Ph.D. ),Graduate School,Doctoral
520202,Biomedical Engineering,Doctor of Philosophy ( Ph.D. ),Graduate School,Doctoral
520210,Nanoscience and Technology (International Program),Doctor of  Philosophy ( Ph.D. ),Graduate School,Doctoral
520221,Technopreneurship and Innovation Management,Doctor of Philosophy ( Ph.D. ),Graduate School,Doctoral
520231,"Environment, Development and Sustainability",Doctor  of Philosophy ( Ph.D. ),Graduate School,Doctoral
520281,Bioinformatics and Computational Biology,Doctor of Philosophy ( Ph.D. ),Graduate School,Doctoral
521001,Biomedical Engineering,Doctor of Philosophy ( Ph.D. ),Faculty of Engineering,Doctoral
521010,Civil Engineering (International Program),Doctor of Philosophy ( Ph.D. ),Faculty of Engineering,Doctoral
521020,Electical Engineering,Doctor of Engineering ( D.Eng. ),Faculty of Engineering,Doctoral
521030,Mechanical Engineering,Doctor of Engineering ( D.Eng. ),Faculty of Engineering,Doctoral
521040,Industrial Engineering,Doctor of Philosophy ( Ph.D. ),Faculty of Engineering,Doctoral
521050,Chemical Engineering,Doctor of Engineering ( D.Eng. ),Faculty of Engineering,Doctoral
521070,Environmental Engineering,Doctor of Philosophy ( Ph.D. ),Faculty of Engineering,Doctoral
521081,Geomatic Engineering,Doctor of Engineering ( D.Eng ),Faculty of Engineering,Doctoral
521090,Metallurgical and Materials Engineering,Doctor of Verterinary Medicine ( D.Eng. ),Faculty of Engineering,Doctoral
521100,Conputer Engineering,Doctor of Philosophy ( Ph.D. ),Faculty of Engineering,Doctoral
521110,Nuclear Engineering,Doctor of Philosophy ( Ph.D ),Faculty of Engineering,Doctoral
521120,Warter Resources Engineering,Doctor of Engineering ( D.Eng. ),Faculty of Engineering,Doctoral
522011,Thai,Doctor of Philosophy ( Ph.D. ),Faculty of Arts,Doctoral
522012,Thai studies(International Program),Doctor of Philosophy ( Ph.D. ),Faculty of Arts,Doctoral
522040,History,Doctor of Philosophy ( Ph.D. ),Faculty Of Arts,Doctoral
522070,Philosophy,Doctor of Philosophy ( Ph.D ),Faculty Of Arts,Doctoral
522090,Linguistics,Doctor of Philosophy ( Ph.D. ),Faculty Of Arts,Doctoral
522201,Chinese,Doctor of Philosophy ( Ph. D. ),Faculty of Arts,Doctoral
522207,Pali-Sanskrit and Buddhist Studies,Doctor of Philosophy ( Ph.D. ),Faculty of Arts,Doctoral
522208,Japanese Culture and Literature,Doctor of Philosophy ( Ph.D ),Faculty of Arts,Doctoral
522300,French Language and Literture,Doctor of Philosophy ( Ph.D. ),Faculty Of Arts,Doctoral
522301,German,Doctor of Philosophy ( Ph.D. ),Faculty of Arts,Doctoral
522431,Literature and Comparative Literature,Doctor of Philosohpy ( Ph.D. ),Faculty of Arts,Doctoral
523010,Mathematics,Doctor of Philosophy ( Ph.D. ),Faculty of Science,Doctoral
523011,Computer Science and Information (English Program),Doctor of Philosophy ( Ph.D. ),Faculty of Science,Doctoral
523021,Chemistry,Doctorof Philosophy ( Ph.D. ),Faculty of Science,Doctoral
523030,Petrochemistry,Doctor of Philosophy ( Ph.D. ),Faculty of Science,Doctoral
523031,Applied Mathematics and Computational Science,Doctorof Philosophy ( Ph.D. ),Faculty of Science,Doctoral
523033,Zoology,Doctor of Philosophy ( Ph. D. ),Faculty of Science,Doctoral
523040,Physics,Doctor of Philosophy ( Ph.D. ),Faculty of Science,Doctoral
523051,Botany,Doctor of Philosophy ( Ph. D. ),Faculty of Science,Doctoral
523060,Chemical Technology,Doctor of Philosophy ( Ph.D. ),Faculty of Science,Doctoral
523070,Geology,Doctor of Philosophy ( Ph.D. ),Faculty of Science,Doctoral
523090,Marine Science,Doctor of Philosophy ( Ph.D. ),Faculty of Science,Doctoral
523100,Biochemistry and Molecular Biology,Doctor of Philosophy ( Ph.D. ),Faculty of Science,Doctoral
523101,Biological Sciences,Doctor of Philosophy ( Ph.D. ),Faculty of Science,Doctoral
523110,Materials Science,Doctor of Philosophy ( Ph.D. ),Faculty of Science,Doctoral
523120,Microbiology and Microbial Technology,Doctor of Philosophy ( Ph.D. ),Faculty of Science,Doctoral
523131,Imaging Technology,Doctor of Philosophy ( Ph.D. ),Faculty of Science,Doctoral
523140,Food Technology,Doctor of Philosophy ( Ph.D. ),Faculty of Science,Doctoral
523410,Biotechnology,Doctor of Philosophy ( Ph.D. ),Faculty of Science,Doctoral
523430,Agricultural Technology,Doctor of Philosophy ( Ph.D. ),Faculty of Science,Doctoral
523450,Macromolecular Science,Doctor of Philosophy ( Ph.D. ),Faculty of Science,Doctoral
524010,Political Science,Doctor of Philosophy ( Ph.D. (Political Science) ),Faculty of Political Science,Doctoral
524031,Sociology and Anthropology,Doctor of Philosophy ( Ph.D. ),Faculty of Political Science,Doctoral
524032,Criminology and Criminal Justice,Doctor of Philosophy ( Ph.D. ),Faculty of Political Science,Doctoral
524401,International Development Studies (International Program),Doctor of Philosophy ( Ph.D. ),Faculty of Political Science,Doctoral
525010,Architecture,Doctor of Philosophy ( Ph.D. ),Faculty of Architecture,Doctoral
525030,Urban Planning and Regional Planning,Doctor of Philosophy ( Ph.D. ),Faculty of Architecture,Doctoral
526010,Accountancy,Doctor of Philosophy Program in Accountancy ( Ph.D. ),Faculty of Commerce and Accountancy,Doctoral
526020,Business Administration (English Program),Doctor of Business Administration ( D.B.A. ),Faculty of Commerce and Accountancy,Doctoral
526032,Information Technology in Business(English Program),Doctor of Philosophy ( Ph.D. ),Faculty of Commerce and Accountancy,Doctoral
526041,Quantitative Finance (English Program),Doctor of Philosophy ( Ph. D. ),Faculty of Commerce and Accountancy,Doctoral
527011,Curriculum and Instruction,Doctor of Philosophy ( Ph.D. ),Faculty of Education,Doctoral
527012,Development Education,Doctor of Philosophy ( Ph.D. ),Faculty of Education,Doctoral
527020,Educational Measurement and Evaluation,Doctor of Philosophy ( Ph.D. ),Faculty of Education,Doctoral
527021,Educational Research Methodology,Doctor of Philosophy ( Ph.D. ),Faculty of Education,Doctoral
527030,Childhood Education,Dotor of Philosophy ( Ph.D. ),Faculty of Education,Doctoral
527050,Physical Education,Doctor of Philosophy ( Ph.D. ),Faculty of Education,Doctoral
527060,Educational Administration,Doctor of Philosophy ( Ph.D. ),Faculty of Education,Doctoral
527080,Educatinoal Communications and Technology,Doctor of Philosophy ( Ph.D. ),Faculty of Education,Doctoral
527100,Higher Education,Doctor of Philosophy ( Ph.D. ),Faculty of Education,Doctoral
527110,Non-Formal Education,Doctor of Philosophy ( Ph.D. ),Faculty of Education,Doctoral
527352,Art Education,Doctor of Philosophy ( Ph.D. ),Faculty of Education,Doctoral
527410,Education Psychology,Doctor of Philosophy ( Ph.D. ),Faculty of Education,Doctoral
528000,Communication Arts,Doctor of Philosophy ( Ph.D. ),Faculty of Communication Arts,Doctoral
529000,Economics (International Program ),Doctor of Philosophy ( Ph.D. ),Faculty of Economic,Doctoral
530001,Medical Science,Doctor of Philosophy ( Ph.D. ),Faculty of Medicine,Doctoral
530002,Biomedical Sciences and Biotechnology,Doctor of Philosophy ( Ph.D. ),Faculty of Medicine,Doctoral
530003,Medical Sciences,Doctor of Philosophy ( Ph.D. ),Faculty of Medicine,Doctoral
530051,Medical Biochemistry,Doctor of Philosophy ( Ph.D. ),Faculty of Medicine,Doctoral
530141,Community Medicine,Doctor of Philosophy ( Ph.D. ),Faculty of Medicine,Doctoral
530200,Medicine,Doctor of Philosophy ( Ph.D. ),Faculty of Medicine,Doctoral
530412,Health Research and Management,Doctor of  Philosophy ( Ph.D. ),Faculty of Medicine,Doctoral
531002,Veterinary Science and Technology (International Program),Doctor of Philosophy ( Ph.D. ),Faculty of Veterinary Science,Doctoral
531012,Veterinary Biosciences,Doctor of Philosophy ( Ph.D. ),Faculty of Veterinary Science,Doctoral
531021,Animal Physiology,Doctor Philosophy ( Ph.D. ),Faculty of Veterinary Science,Doctoral
531032,Applied Animal Science,Doctor of Philosophy ( Ph.D. ),Faculty of Veterinary Science,Doctoral
531051,Veterinary Pathobiology,Doctor of Philosohpy ( Ph.D. ),Faculty of Veterinary Science,Doctoral
531071,Veterinary Medicine,Doctor of Philosophy ( Ph.D. ),Faculty of Veterinary Science,Doctoral
531080,Theriogenology,Doctor of Philosophy ( Ph.D. ),Faculty of Veterinary Science,Doctoral
531091,Veterinary Public Health,Doctor of Philosohpy ( Ph.D. ),Faculty of Veterinary Science,Doctoral
532061,Orthodontics (International Program),Doctor of Philosophy ( Ph.D. ),Faculty of Dentistry,Doctoral
532071,Prosthodontics,Doctor of Philosophy ( Ph.D ),Faculty of Dentistry,Doctoral
532130,Oral Biology,Doctor of Philosophy ( Ph.D. ),Faculty of Dentistry,Doctoral
532141,Dental Public Health(International Program),Doctor of Philosophy ( Ph.D. ),Faculty of Dentistry,Doctoral
533040,Biomedicinal Chemistry,Doctor of Philosophy ( Ph.D. ),Faculty of Pharmaceutical Science,Doctoral
533070,Pharmacognosy,Doctor of Philosophy ( Ph.D. ),Faculty of Pharmaceutical Science,Doctoral
533171,Pharmacology and Toxicology,Doctor of Philosophy ( Ph.D. ),Faculty of Pharmaceutical Science,Doctoral
533400,Pharmaceutics,Doctor of Philosophy ( Ph.D. ),Faculty of Pharmaceutical Science,Doctoral
533410,Pharmaceutical Chemistry and Natural Products,Doctor of Philosophy ( Ph.D. ),Faculty of Pharmaceutical Science,Doctoral
533420,Pharmaceutical Sciences and Technology,Doctor of Philosophy ( Ph.D. ),Faculty of Pharmaceutical Science,Doctoral
533430,Social and Administrative Pharmacy (International Program),Doctor of Philosophy ( Ph.D. ),Faculty of Pharmaceutical Science,Doctoral
533440,Pharmaceutical Technology (International Program),Doctor of Philosophy ( Ph.D. ),Faculty of Pharmaceutical Science,Doctoral
533471,Pharmaceutical Care,Doctor of Philosophy ( Ph.D. ),Faculty of Pharmaceutical Science,Doctoral
534000,Law,Doctor of Jurisdical Science ( J.S.D. ),Faculty of Law,Doctoral
5350001,--,Doctor of Fine and Applied Arts ( D.F.A. ),Faculty of Fine and Applied Arts,Doctoral
535040,Thai Dance,Doctor of Philosophy ( Ph.D. ),Faculty of Fine and Applied Arts,Doctoral
536001,Nursing Science (International Program),Doctor of Philosophy ( Ph.D. ),Faculty of Nursing,Doctoral
537001,Clinical Biochemistry and Molecular Medicine,Doctor of Philosophy ( Ph.D. ),Faculty of Allied Health Sciences,Doctoral
537031,Food and Nutrition (International Program),Doctor of Philosophy	 ( Ph.D. ),Faculty of Allied Health Sciences,Doctoral
537041,Physical Therapy,Doctor of Philosophy ( Ph.D. ),Faculty of Allied Health Sciences,Doctoral
538001,Psychology,Doctorof Philosophy ( Ph.D. ),Faculty of Psychology,Doctoral
539001,Sports Science,Doctor of Philosophy ( Ph. D. ),Faculty of Sports Science,Doctoral
551000,Demography,Doctor of Philosophy ( Ph.D. ),College of Population Stities,Doctoral
551001,Demodraphy,Doctor of Philosophy ( Ph.D. ),College of Population Studies,Doctoral
553001,Public Health Sciences(International),Doctor of Philosophy ( Ph.D ),College of Public Health Science,Doctoral
563000,Petrochemical Technology (International Program),Doctor of Philosophy ( Ph.D. ),Petroleum and Petrochemical College,Doctoral
563001,Polymer Science (International Program),Doctor of Philosophy ( Ph.D. ),Petroleum and Petrochemical College,Doctoral
568000,Public Health,Doctor of Philosophy ( Ph.D. ),College of Public Health Science,Doctoral
